kx,ifmx,ifmy,zin,zout,stridex,pad_x,group,latency,energy
7,224,224,3,96,2,0,1,839925,97304834.19
1,109,109,96,16,1,0,1,18748,4296730.832
1,54,54,16,64,1,0,1,6594,1783745.664
3,54,54,16,64,1,1,1,28834,5666322.56
1,54,54,128,16,1,0,1,6564,1171394.352
1,54,54,16,64,1,0,1,6594,1783745.664
3,54,54,16,64,1,1,1,28834,5666322.56
1,54,54,128,32,1,0,1,13017,2100417.024
1,54,54,32,128,1,0,1,14729,4256435.152
3,54,54,32,128,1,1,1,112124,18588401.54
1,54,54,256,32,1,0,1,25591,4082015.072
1,12,12,32,128,1,0,1,1765,256160.912
3,12,12,32,128,1,1,1,8300,1024825.216
1,12,12,256,48,1,0,1,4707,476814.864
1,12,12,48,192,1,0,1,3087,470787.984
3,12,12,48,192,1,1,1,16589,2624710.768
1,12,12,384,48,1,0,1,6799,731525.84
1,12,12,48,192,1,0,1,3087,470787.984
3,12,12,48,192,1,1,1,16589,2624710.768
1,12,12,384,64,1,0,1,6799,731525.84
1,12,12,64,256,1,0,1,4706,675709.6
3,12,12,64,256,1,1,1,27797,3941121.616
1,12,12,512,64,1,0,1,8923,885808.016
1,13,13,64,256,1,0,1,5986,910551.2
3,13,13,64,256,1,1,1,37269,5376812.112
1,13,13,512,1000,1,0,1,123980,17468134.59
