kx,ifmx,ifmy,zin,zout,stridex,pad_x,group,latency,energy
3,224,224,3,32,2,1,1,29371,5657371.184
3,112,112,32,32,1,1,32,30844,6510100.928
1,112,112,32,16,1,0,1,8142,2609486.304
1,112,112,16,48,1,0,1,25638,7312428.384
3,112,112,48,48,2,1,48,17868,3540838.464
1,56,56,48,24,1,0,1,5224,1737518.336
1,56,56,24,72,1,0,1,13717,4398468.56
3,56,56,72,72,1,1,72,30431,6943746.928
1,56,56,72,24,1,0,1,10355,1838048.304
1,56,56,24,72,1,0,1,13717,4398468.56
3,56,56,72,72,1,1,72,30431,6943746.928
1,56,56,72,24,1,0,1,10355,1838048.304
1,56,56,24,72,1,0,1,13717,4398468.56
5,56,56,72,72,2,2,72,32622,4273493.664
1,28,28,72,40,1,0,1,4504,936113.696
1,28,28,40,120,1,0,1,6936,1251538.624
5,28,28,120,120,1,2,120,32298,4265069.664
1,28,28,120,40,1,0,1,7223,1294093.072
1,28,28,40,120,1,0,1,6936,1251538.624
5,28,28,120,120,1,2,120,32298,4265069.664
1,28,28,120,40,1,0,1,7223,1294093.072
1,28,28,40,240,1,0,1,13578,2495433.248
5,28,28,240,240,2,2,240,18144,2288087.808
1,14,14,240,80,1,0,1,9634,1284047.264
1,14,14,80,480,1,0,1,14057,2167329.296
5,14,14,480,480,1,2,480,33541,4504753.616
1,14,14,480,80,1,0,1,18147,2380037.424
1,14,14,80,480,1,0,1,14057,2167329.296
5,14,14,480,480,1,2,480,33541,4504753.616
1,14,14,480,80,1,0,1,18147,2380037.424
1,14,14,80,480,1,0,1,14057,2167329.296
3,14,14,480,480,1,1,480,13173,2183091.408
1,14,14,480,96,1,0,1,18147,2380037.424
1,14,14,96,576,1,0,1,17872,2825028.416
3,14,14,576,576,1,1,576,14768,2454635.584
1,14,14,576,96,1,0,1,21547,2912808.368
1,14,14,96,576,1,0,1,17872,2825028.416
5,14,14,576,576,2,2,576,17336,1839197.392
1,7,7,576,192,1,0,1,15978,1602639.888
1,7,7,192,1152,1,0,1,31143,3522732.432
5,7,7,1152,1152,1,2,1152,33023,3635520.784
1,7,7,1152,192,1,0,1,30900,3093176.112
1,7,7,192,1152,1,0,1,31143,3522732.432
5,7,7,1152,1152,1,2,1152,33023,3635520.784
1,7,7,1152,192,1,0,1,30900,3093176.112
1,7,7,192,1152,1,0,1,31143,3522732.432
5,7,7,1152,1152,1,2,1152,33023,3635520.784
1,7,7,1152,192,1,0,1,30900,3093176.112
1,7,7,192,1152,1,0,1,31143,3522732.432
3,7,7,1152,1152,1,1,1152,14577,1774623.792
1,7,7,1152,320,1,0,1,48586,5079529.52
1,7,7,320,1280,1,0,1,54039,5921638.96
