kx,ifmx,ifmy,zin,zout,stridex,pad_x,group,latency,energy
7,224,224,3,64,2,3,1,371896,43699283.33
1,112,112,64,128,1,0,1,101948,23974244.8
3,56,56,128,128,1,1,32,31439,6969954.928
1,56,56,128,256,1,0,1,103568,18742585.09
1,56,56,64,256,1,0,1,52898,12070554.4
1,56,56,256,128,1,0,1,103398,16802945.63
3,56,56,128,128,1,1,32,31439,6969954.928
1,56,56,128,256,1,0,1,103568,18742585.09
1,56,56,256,128,1,0,1,103398,16802945.63
3,56,56,128,128,1,1,32,31439,6969954.928
1,56,56,128,256,1,0,1,103568,18742585.09
1,56,56,256,256,1,0,1,205032,33560027.26
3,56,56,256,256,2,1,32,18005,3795536.464
1,28,28,256,512,1,0,1,106348,18494749.63
1,28,28,256,512,2,0,1,35564,5040130.752
1,28,28,512,256,1,0,1,106688,17502571.9
3,28,28,256,256,1,1,32,16885,3766416.464
1,28,28,256,512,1,0,1,106348,18494749.63
1,28,28,512,256,1,0,1,106688,17502571.9
3,28,28,256,256,1,1,32,16885,3766416.464
1,28,28,256,512,1,0,1,106348,18494749.63
1,28,28,512,256,1,0,1,106688,17502571.9
3,28,28,256,256,1,1,32,16885,3766416.464
1,28,28,256,512,1,0,1,106348,18494749.63
1,28,28,512,512,1,0,1,210244,34923711.81
3,28,28,512,512,2,1,32,20799,3601422.96
1,14,14,512,1024,1,0,1,132428,18633706.18
1,14,14,512,1024,2,0,1,67155,7004410.544
1,14,14,1024,512,1,0,1,132224,17992757.76
3,14,14,512,512,1,1,32,20799,3601422.96
1,14,14,512,1024,1,0,1,132428,18633706.18
1,14,14,1024,512,1,0,1,132224,17992757.76
3,14,14,512,512,1,1,32,20799,3601422.96
1,14,14,512,1024,1,0,1,132428,18633706.18
1,14,14,1024,512,1,0,1,132224,17992757.76
3,14,14,512,512,1,1,32,20799,3601422.96
1,14,14,512,1024,1,0,1,132428,18633706.18
1,14,14,1024,512,1,0,1,132224,17992757.76
3,14,14,512,512,1,1,32,20799,3601422.96
1,14,14,512,1024,1,0,1,132428,18633706.18
1,14,14,1024,512,1,0,1,132224,17992757.76
3,14,14,512,512,1,1,32,20799,3601422.96
1,14,14,512,1024,1,0,1,132428,18633706.18
1,14,14,1024,1024,1,0,1,258584,35833051.52
3,14,14,1024,1024,2,1,32,39587,4263370.672
1,7,7,1024,2048,1,0,1,256339,26795427.76
1,7,7,1024,2048,2,0,1,254489,17678489.36
1,7,7,2048,1024,1,0,1,256083,26337317.55
3,7,7,1024,1024,1,1,32,39587,4263370.672
1,7,7,1024,2048,1,0,1,256339,26795427.76
1,7,7,2048,1024,1,0,1,256083,26337317.55
3,7,7,1024,1024,1,1,32,39587,4263370.672
1,7,7,1024,2048,1,0,1,256339,26795427.76
