kx,ifmx,ifmy,zin,zout,stridex,pad_x,group,latency,energy
1,112,112,16,96,1,0,1,51177,14622282.768
3,112,112,96,96,2,1,96,32543,6998658.927999999
1,56,56,96,24,1,0,1,10081,2365795.0879999995
1,56,56,24,144,1,0,1,20496,6595635.84
3,56,56,144,144,1,1,144,45538,10412799.392
1,56,56,144,24,1,0,1,14968,2994851.84
1,56,56,24,144,1,0,1,20496,6595635.84
3,56,56,144,144,2,1,144,13450,2845254.848
1,28,28,144,32,1,0,1,4328,915274.48
1,28,28,32,192,1,0,1,7186,1787824.448
3,28,28,192,192,1,1,192,12906,2831110.848
1,28,28,192,32,1,0,1,5688,1130565.168
1,28,28,32,192,1,0,1,7186,1787824.448
3,28,28,192,192,1,1,192,12906,2831110.848
1,28,28,192,32,1,0,1,5688,1130565.168
1,28,28,32,192,1,0,1,7186,1787824.448
3,28,28,192,192,2,1,192,5682,837954.5279999998
1,14,14,192,64,1,0,1,4677,566670.096
1,14,14,64,384,1,0,1,9224,1447782.4
3,14,14,384,384,1,1,384,10055,1641875.056
1,14,14,384,64,1,0,1,8799,1039454.64
1,14,14,64,384,1,0,1,9224,1447782.4
3,14,14,384,384,1,1,384,10055,1641875.056
1,14,14,384,64,1,0,1,8799,1039454.64
1,14,14,64,384,1,0,1,9224,1447782.4
3,14,14,384,384,1,1,384,10055,1641875.056
1,14,14,384,64,1,0,1,8799,1039454.64
1,14,14,64,384,1,0,1,9224,1447782.4
3,14,14,384,384,1,1,384,10055,1641875.056
1,14,14,384,96,1,0,1,14738,2004549.28
1,14,14,96,576,1,0,1,17872,2825028.416
3,14,14,576,576,1,1,576,14768,2454635.5840000003
1,14,14,576,96,1,0,1,21547,2912808.368
1,14,14,96,576,1,0,1,17872,2825028.416
3,14,14,576,576,1,1,576,14768,2454635.5840000003
1,14,14,576,96,1,0,1,21547,2912808.368
1,14,14,96,576,1,0,1,17872,2825028.416
3,14,14,576,576,2,1,576,7584,894994.896
1,7,7,576,160,1,0,1,15978,1602639.888
1,7,7,160,960,1,0,1,22409,2487987.52
3,7,7,960,960,1,1,960,12246,1481414.16
1,7,7,960,160,1,0,1,25929,2537339.904
1,7,7,160,960,1,0,1,22409,2487987.52
3,7,7,960,960,1,1,960,12246,1481414.16
1,7,7,960,160,1,0,1,25929,2537339.904
1,7,7,160,960,1,0,1,22409,2487987.52
3,7,7,960,960,1,1,960,12246,1481414.16
1,7,7,960,320,1,0,1,40749,4164783.84
1,7,7,320,1280,1,0,1,54039,5921638.96
