kx,ifmx,ifmy,zin,zout,stridex,pad_x,group,latency,energy
7,224,224,3,64,2,3,1,371896,43699283.33
3,112,112,64,64,1,1,1,456527,77129640.3
3,56,56,64,64,1,1,1,117752,19384888.58
3,56,56,64,64,1,1,1,117752,19384888.58
3,56,56,64,64,1,1,1,117752,19384888.58
3,56,56,64,128,2,1,1,61643,10652002.29
3,28,28,128,128,1,1,1,122409,19126767.31
1,28,28,64,128,2,0,1,3388,490740.8
3,28,28,128,128,1,1,1,122409,19126767.31
3,28,28,128,128,1,1,1,122409,19126767.31
3,28,28,128,256,2,1,1,77443,10160940.46
3,14,14,256,256,1,1,1,153015,19955412.72
1,14,14,128,256,2,0,1,5571,558142.448
3,14,14,256,256,1,1,1,153015,19955412.72
3,14,14,256,256,1,1,1,153015,19955412.72
3,14,14,256,512,2,1,1,147979,14888765.36
3,7,7,512,512,1,1,1,293707,29493277.62
1,7,7,256,512,2,0,1,17921,1253402.768
3,7,7,512,512,1,1,1,293707,29493277.62
3,7,7,512,512,1,1,1,293707,29493277.62
