kx,ifmx,ifmy,zin,zout,stridex,pad_x,group,latency,energy
3,224,224,64,64,1,1,1,1815759,308216079.2
3,112,112,64,128,1,1,1,908757,154147558.6
3,112,112,128,128,1,1,1,1816659,274136003
3,56,56,128,256,1,1,1,916099,137303416.5
3,56,56,256,256,1,1,1,1830327,270687748.1
3,56,56,256,256,1,1,1,1830327,270687748.1
3,28,28,256,512,1,1,1,937563,149927669
3,28,28,512,512,1,1,1,1872687,297789888.6
3,28,28,512,512,1,1,1,1872687,297789888.6
3,14,14,512,512,1,1,1,583343,78439364.46
3,14,14,512,512,1,1,1,583343,78439364.46
3,14,14,512,512,1,1,1,583343,78439364.46
