kx,ifmx,ifmy,zin,zout,stridex,pad_x,group,latency,energy
3.0,112.0,112.0,32.0,32.0,1.0,1.0,32.0,30844.0,6510100.927999999
1.0,112.0,112.0,32.0,32.0,1.0,0.0,1.0,14526.0,4179842.528
1.0,112.0,112.0,32.0,64.0,1.0,0.0,1.0,28624.0,8728717.056
3.0,56.0,56.0,64.0,64.0,2.0,1.0,64.0,6068.0,989619.6159999999
1.0,56.0,56.0,64.0,16.0,1.0,0.0,1.0,3656.0,842756.16
1.0,56.0,56.0,16.0,144.0,1.0,0.0,1.0,20268.0,5536404.288000002
5.0,28.0,28.0,144.0,144.0,2.0,2.0,144.0,13665.0,1717547.856
1.0,28.0,28.0,144.0,24.0,1.0,0.0,1.0,4328.0,822556.96
1.0,28.0,28.0,24.0,160.0,1.0,0.0,1.0,6528.0,1764900.96
5.0,14.0,14.0,160.0,160.0,2.0,2.0,160.0,6878.0,641648.4640000003
1.0,14.0,14.0,160.0,40.0,1.0,0.0,1.0,3993.0,474824.27200000006
1.0,14.0,14.0,40.0,432.0,1.0,0.0,1.0,8645.0,1291172.624
3.0,14.0,14.0,432.0,432.0,1.0,1.0,432.0,11626.0,1912795.2319999998
1.0,14.0,14.0,432.0,72.0,1.0,0.0,1.0,16436.0,2349641.152
1.0,14.0,14.0,72.0,768.0,1.0,0.0,1.0,19377.0,3220662.672
5.0,7.0,7.0,768.0,768.0,2.0,2.0,768.0,21925.0,1564724.8159999999
1.0,7.0,7.0,768.0,128.0,1.0,0.0,1.0,14979.0,1425942.8640000003
1.0,7.0,7.0,128.0,1152.0,1.0,0.0,1.0,22315.0,2440024.0160000003
3.0,7.0,7.0,1152.0,1152.0,1.0,1.0,1152.0,14577.0,1774623.792
1.0,7.0,7.0,1152.0,192.0,1.0,0.0,1.0,30900.0,3093176.112
1.0,7.0,7.0,192.0,224.0,1.0,0.0,1.0,7707.0,803274.0959999999
1.0,7.0,7.0,224.0,1344.0,1.0,0.0,1.0,41296.0,4460913.680000002
1.0,7.0,7.0,1344.0,1344.0,1.0,0.0,1.0,220860.0,24343442.64
3.0,112.0,112.0,3.0,24.0,2.0,1.0,1.0,8035.0,1543437.2959999999
