kx,ifmx,ifmy,zin,zout,stridex,pad_x,group,latency,energy
3.0,112.0,112.0,32.0,32.0,1.0,1.0,32.0,30844.0,6510100.927999999
1.0,112.0,112.0,32.0,32.0,1.0,0.0,1.0,14526.0,4179842.528
1.0,112.0,112.0,32.0,96.0,1.0,0.0,1.0,57025.0,17451636.112
3.0,56.0,56.0,96.0,96.0,2.0,1.0,96.0,9471.0,1909949.2319999998
1.0,56.0,56.0,96.0,24.0,1.0,0.0,1.0,10081.0,2365795.0879999995
1.0,56.0,56.0,24.0,192.0,1.0,0.0,1.0,20496.0,6595635.84
3.0,28.0,28.0,192.0,192.0,2.0,1.0,192.0,5682.0,837954.5279999998
1.0,28.0,28.0,192.0,32.0,1.0,0.0,1.0,5688.0,1130565.168
1.0,28.0,28.0,32.0,240.0,1.0,0.0,1.0,9507.0,2381833.264
5.0,14.0,14.0,240.0,240.0,2.0,2.0,240.0,8621.0,841239.9519999998
1.0,14.0,14.0,240.0,40.0,1.0,0.0,1.0,5711.0,665267.632
1.0,14.0,14.0,40.0,384.0,1.0,0.0,1.0,7452.0,1107811.392
5.0,14.0,14.0,384.0,384.0,1.0,2.0,384.0,25519.0,3388009.7120000008
1.0,14.0,14.0,384.0,64.0,1.0,0.0,1.0,8799.0,1039454.64
1.0,14.0,14.0,64.0,768.0,1.0,0.0,1.0,17978.0,2883344.8000000007
5.0,7.0,7.0,768.0,768.0,2.0,2.0,768.0,21925.0,1564724.8159999999
1.0,7.0,7.0,768.0,128.0,1.0,0.0,1.0,14979.0,1425942.8640000003
1.0,7.0,7.0,128.0,1296.0,1.0,0.0,1.0,25903.0,2843284.352
5.0,7.0,7.0,1296.0,1296.0,1.0,2.0,1296.0,38252.0,4234295.248
1.0,7.0,7.0,1296.0,216.0,1.0,0.0,1.0,44551.0,4756088.624
1.0,7.0,7.0,216.0,224.0,1.0,0.0,1.0,8507.0,914862.064
1.0,7.0,7.0,224.0,1344.0,1.0,0.0,1.0,41296.0,4460913.680000002
1.0,7.0,7.0,1344.0,1344.0,1.0,0.0,1.0,220860.0,24343442.64
3.0,112.0,112.0,3.0,32.0,2.0,1.0,1.0,8035.0,1442349.2959999999
