kx,ifmx,ifmy,zin,zout,stridex,pad_x,group,latency,energy
3.0,112.0,112.0,24.0,24.0,1.0,1.0,24.0,30276.0,6923012.927999999
1.0,112.0,112.0,24.0,24.0,1.0,0.0,1.0,15814.0,5396832.607999999
1.0,112.0,112.0,24.0,64.0,1.0,0.0,1.0,25754.0,8719849.12
3.0,56.0,56.0,64.0,64.0,2.0,1.0,64.0,6068.0,989619.6159999999
1.0,56.0,56.0,64.0,16.0,1.0,0.0,1.0,3656.0,842756.16
1.0,56.0,56.0,16.0,144.0,1.0,0.0,1.0,20268.0,5536404.288000002
5.0,28.0,28.0,144.0,144.0,2.0,2.0,144.0,13665.0,1717547.856
1.0,28.0,28.0,144.0,24.0,1.0,0.0,1.0,4328.0,822556.96
1.0,28.0,28.0,24.0,160.0,1.0,0.0,1.0,6528.0,1764900.96
3.0,14.0,14.0,160.0,160.0,2.0,1.0,160.0,2922.0,308575.632
1.0,14.0,14.0,160.0,32.0,1.0,0.0,1.0,2044.0,255927.13600000003
1.0,14.0,14.0,32.0,432.0,1.0,0.0,1.0,7300.0,1264421.632
3.0,14.0,14.0,432.0,432.0,1.0,1.0,432.0,11626.0,1912795.2319999998
1.0,14.0,14.0,432.0,72.0,1.0,0.0,1.0,16436.0,2349641.152
1.0,14.0,14.0,72.0,768.0,1.0,0.0,1.0,19377.0,3220662.672
3.0,7.0,7.0,768.0,768.0,2.0,1.0,768.0,9733.0,747645.0079999999
1.0,7.0,7.0,768.0,128.0,1.0,0.0,1.0,14979.0,1425942.8640000003
1.0,7.0,7.0,128.0,1296.0,1.0,0.0,1.0,25903.0,2843284.352
5.0,7.0,7.0,1296.0,1296.0,1.0,2.0,1296.0,38252.0,4234295.248
1.0,7.0,7.0,1296.0,216.0,1.0,0.0,1.0,44551.0,4756088.624
1.0,7.0,7.0,216.0,224.0,1.0,0.0,1.0,8507.0,914862.064
1.0,7.0,7.0,224.0,1344.0,1.0,0.0,1.0,41296.0,4460913.680000002
1.0,7.0,7.0,1344.0,1344.0,1.0,0.0,1.0,220860.0,24343442.64
3.0,112.0,112.0,3.0,24.0,2.0,1.0,1.0,8035.0,1543437.2959999999
