kx,ifmx,ifmy,zin,zout,stridex,pad_x,group,latency,energy
3.0,112.0,112.0,32.0,32.0,1.0,1.0,32.0,30844.0,6510100.927999999
1.0,112.0,112.0,32.0,32.0,1.0,0.0,1.0,14526.0,4179842.528
1.0,112.0,112.0,32.0,96.0,1.0,0.0,1.0,57025.0,17451636.112
3.0,56.0,56.0,96.0,96.0,2.0,1.0,96.0,9471.0,1909949.2319999998
1.0,56.0,56.0,96.0,24.0,1.0,0.0,1.0,10081.0,2365795.0879999995
1.0,56.0,56.0,24.0,128.0,1.0,0.0,1.0,13717.0,4398468.56
5.0,28.0,28.0,128.0,128.0,2.0,2.0,128.0,10278.0,1175399.904
1.0,28.0,28.0,128.0,32.0,1.0,0.0,1.0,3897.0,572494.784
1.0,28.0,28.0,32.0,192.0,1.0,0.0,1.0,7186.0,1787824.448
3.0,14.0,14.0,192.0,192.0,2.0,1.0,192.0,2922.0,308575.632
1.0,14.0,14.0,192.0,32.0,1.0,0.0,1.0,2384.0,305254.048
1.0,14.0,14.0,32.0,432.0,1.0,0.0,1.0,7300.0,1264421.632
3.0,14.0,14.0,432.0,432.0,1.0,1.0,432.0,11626.0,1912795.2319999998
1.0,14.0,14.0,432.0,72.0,1.0,0.0,1.0,16436.0,2349641.152
1.0,14.0,14.0,72.0,672.0,1.0,0.0,1.0,17806.0,2953411.6160000004
3.0,7.0,7.0,672.0,672.0,2.0,1.0,672.0,8956.0,686227.4240000001
1.0,7.0,7.0,672.0,112.0,1.0,0.0,1.0,13207.0,1257363.728
1.0,7.0,7.0,112.0,1296.0,1.0,0.0,1.0,23327.0,2596377.6640000003
5.0,7.0,7.0,1296.0,1296.0,1.0,2.0,1296.0,38252.0,4234295.248
1.0,7.0,7.0,1296.0,216.0,1.0,0.0,1.0,44551.0,4756088.624
1.0,7.0,7.0,216.0,224.0,1.0,0.0,1.0,8507.0,914862.064
1.0,7.0,7.0,224.0,1344.0,1.0,0.0,1.0,41296.0,4460913.680000002
1.0,7.0,7.0,1344.0,1344.0,1.0,0.0,1.0,220860.0,24343442.64
3.0,112.0,112.0,3.0,32.0,2.0,1.0,1.0,8035.0,1442349.2959999999
