Net_ID,Augur_Latency (ms),WhiteBox_Profiler_Latency (ms),Accuracy (%),Augur_Energy (pJ),WhiteBox_Profiler_Energy (pJ)
SuperNet_0,1.157869816,1.143186092,80.06407329,90628160,90766112
SuperNet_1,1.239176273,1.223028183,77.69290822,95862656,95388056
SuperNet_10,1.169054508,1.154046059,78.10577505,88187040,88260048
SuperNet_100,1.28684485,1.270684004,77.49077769,96576576,96159968
SuperNet_101,1.225644588,1.210680008,76.82593336,93222032,93322992
SuperNet_102,1.371899366,1.354248047,78.86674196,111096408,110665224
SuperNet_103,1.388254285,1.369110107,76.83311837,103243840,102559400
SuperNet_104,1.321150541,1.303930044,77.52355015,97456824,97234592
SuperNet_105,1.308066726,1.289058208,78.98040525,97404296,96632304
SuperNet_106,1.243844867,1.226768017,77.68527625,94701872,94216128
SuperNet_107,1.33427453,1.316732168,78.99546969,97828048,97596704
SuperNet_108,1.332294703,1.313488126,76.57030165,108060800,107911120
SuperNet_109,1.164943457,1.148632169,79.08074578,86311984,85843040
SuperNet_11,1.185416698,1.167834282,76.51756368,91696304,91479056
SuperNet_110,1.326668978,1.306888103,79.98009265,104186688,103290576
SuperNet_111,1.287190914,1.270846128,79.69634177,99212568,98854576
SuperNet_112,1.200391412,1.184710145,77.06472151,91606320,91148768
SuperNet_113,1.254797578,1.238798141,78.04499429,103332688,103309520
SuperNet_114,1.269385219,1.250004172,77.19944207,95279360,94581864
SuperNet_115,1.309268594,1.293734074,78.94004718,105517984,105465624
SuperNet_116,1.232578397,1.217812181,76.98498666,97103840,97223984
SuperNet_117,1.219180465,1.204164028,76.97682316,94770392,94885568
SuperNet_118,1.247436047,1.22984004,78.83336843,95482480,95211888
SuperNet_119,1.227342844,1.207956195,75.92076728,94272688,93484528
SuperNet_12,1.274418235,1.253214121,77.1473925,102812176,102002224
SuperNet_120,1.335114598,1.315852165,79.22158564,100539032,99876880
SuperNet_121,1.167283058,1.147342205,79.65441806,88726496,87974992
SuperNet_122,1.222319126,1.204748034,77.06725113,90841160,90629904
SuperNet_123,1.144863725,1.125334144,75.73678861,81151136,80367880
SuperNet_124,1.286794186,1.270220041,79.38340011,97045200,96552416
SuperNet_125,1.14238596,1.122700214,78.11961824,80367104,79623824
SuperNet_126,1.180759192,1.164568186,79.43126475,90319120,89853000
SuperNet_127,1.295585155,1.274640203,76.45964867,104732544,103845136
SuperNet_128,1.283782005,1.269148111,75.51093207,98021120,98178432
