kx,ifmx,ifmy,zin,zout,stridex,pad_x,group,latency,energy
3,128,128,64,64,1,1,1,595439,99577957.744
3,128,128,64,64,1,1,1,595439,99577957.744
1,64,64,128,512,1,0,1,267868,48357785.536000006
1,64,64,512,128,1,0,1,267166,40777086.688
3,64,64,128,128,1,1,1,599625,88558464.52800001
1,64,64,128,512,1,0,1,267868,48357785.536000006
1,64,64,512,128,1,0,1,267166,40777086.688
3,64,64,128,128,1,1,1,599625,88558464.52800001
1,64,64,128,512,1,0,1,267868,48357785.536000006
1,64,64,512,128,1,0,1,267166,40777086.688
3,64,64,128,128,1,1,1,599625,88558464.52800001
1,64,64,128,512,1,0,1,267868,48357785.536000006
1,64,64,512,256,1,0,1,531200,81472741.376
3,64,64,256,256,1,1,1,2383415,348800016.88
1,64,64,256,1024,1,0,1,1061108,172995153.21600002
1,64,64,512,1024,1,0,1,2115404,325646669.504
1,64,64,1024,256,1,0,1,1060404,157851955.51999998
3,64,64,256,256,1,1,1,2383415,348800016.88
1,64,64,256,1024,1,0,1,1061108,172995153.21600002
1,64,64,1024,256,1,0,1,1060404,157851955.51999998
3,64,64,256,256,1,1,1,2383415,348800016.88
1,64,64,256,1024,1,0,1,1061108,172995153.21600002
1,64,64,1024,256,1,0,1,1060404,157851955.51999998
3,64,64,256,256,1,1,1,2383415,348800016.88
1,64,64,256,1024,1,0,1,1061108,172995153.21600002
1,64,64,1024,256,1,0,1,1060404,157851955.51999998
3,64,64,256,256,1,1,1,2383415,348800016.88
1,64,64,256,1024,1,0,1,1061108,172995153.21600002
1,64,64,1024,256,1,0,1,1060404,157851955.51999998
3,64,64,256,256,1,1,1,2383415,348800016.88
1,64,64,256,1024,1,0,1,1061108,172995153.21600002
1,64,64,1024,512,1,0,1,2114944,315551447.04
3,64,64,512,512,1,1,1,9504687,1384363507.056
1,64,64,512,2048,1,0,1,4227676,651211907.008
1,64,64,1024,2048,1,0,1,8442184,1261748396.1599998
1,64,64,2048,512,1,0,1,4226296,620926239.6159999
3,64,64,512,512,1,1,1,9504687,1384363507.056
1,64,64,512,2048,1,0,1,4227676,651211907.008
1,64,64,2048,512,1,0,1,4226296,620926239.6159999
3,64,64,512,512,1,1,1,9504687,1384363507.056
1,64,64,512,2048,1,0,1,4227676,651211907.008
1,64,64,2048,256,1,0,1,2118812,310610383.808
3,64,64,2048,256,1,1,1,19053351,2754745522.4160004
3,64,64,2048,256,1,1,1,19053351,2754745522.4160004
3,64,64,2048,256,1,1,1,19053351,2754745522.4160004
1,64,64,1280,256,1,0,1,1325007,196041588.592
3,64,64,256,256,1,1,1,2383415,348800016.88
1,64,64,256,21,1,0,1,34079,5514359.408000002
