kx,ifmx,ifmy,zin,zout,stridex,pad_x,group,latency,energy
3,48,48,64,64,1,1,1,87768,14490862.464000002
3,48,48,64,64,1,1,1,87768,14490862.464000002
3,48,48,64,64,1,1,1,87768,14490862.464000002
3,48,48,64,64,1,1,1,87768,14490862.464000002
3,48,48,64,128,2,1,1,46827,7338653.232000001
3,24,24,128,128,1,1,1,92617,13061585.168
1,48,48,64,128,2,0,1,6140,1171883.2000000002
3,24,24,128,128,1,1,1,92617,13061585.168
3,24,24,128,128,1,1,1,92617,13061585.168
3,24,24,128,128,1,1,1,92617,13061585.168
3,24,24,128,128,1,1,1,92617,13061585.168
3,24,24,128,128,1,1,1,92617,13061585.168
3,24,24,128,128,1,1,1,92617,13061585.168
3,24,24,128,256,2,1,1,54083,7015169.584
3,12,12,256,256,1,1,1,106615,13769790.32
1,24,24,128,256,2,0,1,7504,1014081.152
3,12,12,256,256,1,1,1,106615,13769790.32
3,12,12,256,256,1,1,1,106615,13769790.32
3,12,12,256,256,1,1,1,106615,13769790.32
3,12,12,256,256,1,1,1,106615,13769790.32
3,12,12,256,256,1,1,1,106615,13769790.32
3,12,12,256,256,1,1,1,106615,13769790.32
3,12,12,256,256,1,1,1,106615,13769790.32
3,12,12,256,256,1,1,1,106615,13769790.32
3,12,12,256,256,1,1,1,106615,13769790.32
3,12,12,256,256,1,1,1,106615,13769790.32
3,12,12,256,512,2,1,1,146819,13862760.880000005
3,6,6,512,512,1,1,1,291395,27460996.528
1,12,12,256,512,2,0,1,18315,1775648.3040000002
3,6,6,512,512,1,1,1,291395,27460996.528
3,6,6,512,512,1,1,1,291395,27460996.528
3,6,6,512,512,1,1,1,291395,27460996.528
3,6,6,512,512,1,1,1,291395,27460996.528
3,16,16,42,21,2,1,1,2716,246544.448
