kx,ifmx,ifmy,zin,zout,stridex,pad_x,group,latency,energy
1,56,56,64,256,1,0,1,52898,12070554.4
1,56,56,64,256,1,0,1,52898,12070554.4
1,56,56,256,64,1,0,1,52659,8426432.816
3,56,56,64,64,1,1,1,117752,19384888.575999998
1,56,56,64,256,1,0,1,52898,12070554.4
1,56,56,256,64,1,0,1,52659,8426432.816
3,56,56,64,64,1,1,1,117752,19384888.575999998
1,56,56,64,256,1,0,1,52898,12070554.4
1,56,56,256,128,1,0,1,103398,16802945.632
3,56,56,128,128,2,1,1,122409,19126767.312
1,28,28,128,512,1,0,1,54748,10289316.544
1,56,56,256,512,2,0,1,106348,18494749.632
1,28,28,512,128,1,0,1,54910,8792001.952
3,28,28,128,128,1,1,1,122409,19126767.312
1,28,28,128,512,1,0,1,54748,10289316.544
1,28,28,512,128,1,0,1,54910,8792001.952
3,28,28,128,128,1,1,1,122409,19126767.312
1,28,28,128,512,1,0,1,54748,10289316.544
1,28,28,512,128,1,0,1,54910,8792001.952
3,28,28,128,128,1,1,1,122409,19126767.312
1,28,28,128,512,1,0,1,54748,10289316.544
1,28,28,512,256,1,0,1,106688,17502571.904
3,28,28,256,256,2,1,1,153015,19955412.72
1,14,14,256,1024,1,0,1,69364,10034397.504
1,28,28,512,1024,2,0,1,132428,18633706.176
1,14,14,1024,256,1,0,1,69044,9072610.88
3,14,14,256,256,1,1,1,153015,19955412.72
1,14,14,256,1024,1,0,1,69364,10034397.504
1,14,14,1024,256,1,0,1,69044,9072610.88
3,14,14,256,256,1,1,1,153015,19955412.72
1,14,14,256,1024,1,0,1,69364,10034397.504
1,14,14,1024,256,1,0,1,69044,9072610.88
3,14,14,256,256,1,1,1,153015,19955412.72
1,14,14,256,1024,1,0,1,69364,10034397.504
1,14,14,1024,256,1,0,1,69044,9072610.88
3,14,14,256,256,1,1,1,153015,19955412.72
1,14,14,256,1024,1,0,1,69364,10034397.504
1,14,14,1024,256,1,0,1,69044,9072610.88
3,14,14,256,256,1,1,1,153015,19955412.72
1,14,14,256,1024,1,0,1,69364,10034397.504
1,14,14,1024,512,1,0,1,132224,17992757.76
3,14,14,512,512,2,1,1,293707,29493277.616
1,7,7,512,2048,1,0,1,132179,13953415.088
1,14,14,1024,2048,2,0,1,256339,26795427.76
1,7,7,2048,512,1,0,1,131795,13266249.776000002
3,7,7,512,512,1,1,1,293707,29493277.616
1,7,7,512,2048,1,0,1,132179,13953415.088
1,7,7,2048,512,1,0,1,131795,13266249.776000002
3,7,7,512,512,1,1,1,293707,29493277.616
1,7,7,512,2048,1,0,1,132179,13953415.088
