kx,ifmx,ifmy,zin,zout,stridex,pad_x,group,latency,energy
1,96,96,4,4,1,0,1,1638,336578.784
3,96,96,4,1,1,1,1,6011,790789.552
3,96,96,8,8,2,1,8,2318,330932.512
1,48,48,8,16,1,0,1,1628,281699.392
1,48,48,16,4,1,0,1,864,137278.464
3,48,48,4,4,1,1,4,2053,218879.888
1,48,48,4,4,1,0,1,778,95417.696
3,48,48,4,1,1,1,1,2053,218879.888
3,48,48,16,16,2,1,16,1676,184884.25600000002
1,24,24,16,32,1,0,1,1056,182635.968
1,24,24,32,4,1,0,1,588,59258.78400000001
3,24,24,4,4,1,1,4,1045,75421.47200000001
1,24,24,4,4,1,0,1,548,34737.424000000006
3,24,24,4,1,1,1,1,1045,75421.47200000001
3,24,24,32,32,2,1,32,1292,112310.12800000001
1,12,12,32,64,1,0,1,994,130979.45599999999
1,12,12,64,128,1,0,1,2588,343964.80000000005
3,12,12,128,128,1,1,128,2843,388790.51200000005
1,12,12,128,64,1,0,1,2599,272318.28799999994
1,12,12,64,128,1,0,1,2588,343964.80000000005
3,12,12,128,128,1,1,128,2843,388790.51200000005
1,12,12,128,64,1,0,1,2599,272318.28799999994
3,24,24,64,64,1,1,64,3992,684577.0240000001
1,24,24,64,32,1,0,1,1746,284632.8
3,24,24,32,32,1,1,32,2336,335576.51200000005
1,24,24,32,32,1,0,1,1178,213826.912
3,48,48,32,32,1,1,32,6560,1229890.0480000002
1,48,48,32,16,1,0,1,1906,493650.464
3,48,48,16,16,1,1,16,3668,628921.024
1,48,48,16,16,1,0,1,1638,365729.376
3,96,96,16,16,1,1,16,11732,2407564.0960000004
1,96,96,16,4,1,0,1,2178,509117.856
3,96,96,4,4,1,1,4,6011,790789.552
1,96,96,4,4,1,0,1,1638,336578.784
3,192,192,4,4,1,1,4,21707,3074892.208
1,192,192,4,4,1,0,1,5130,1302575.136
3,192,192,4,4,1,1,4,21707,3074892.208
