kx,ifmx,ifmy,zin,zout,stridex,pad_x,group,latency,energy
1,48,48,32,32,1,0,1,3154,787727.6479999999
1,48,48,32,96,1,0,1,11601,3276584.5919999997
3,48,48,96,96,2,1,96,7519,1357064.0480000002
1,24,24,96,32,1,0,1,2441,375617.48799999995
1,24,24,32,192,1,0,1,5572,1285537.472
3,24,24,192,192,1,1,192,10238,2008543.072
1,24,24,192,32,1,0,1,4528,710831.5519999998
1,24,24,32,192,1,0,1,5572,1285537.472
3,24,24,192,192,2,1,192,4262,583120.7679999999
1,12,12,192,64,1,0,1,3637,399465.776
1,12,12,64,384,1,0,1,6824,1007454.4
3,12,12,384,384,1,1,384,7367,1136159.5359999998
1,12,12,384,64,1,0,1,6799,731525.84
1,12,12,64,384,1,0,1,6824,1007454.4
3,12,12,384,384,1,1,384,7367,1136159.5359999998
1,12,12,384,64,1,0,1,6799,731525.84
1,12,12,96,384,1,0,1,8791,1308444.4640000002
3,12,12,384,384,1,1,384,7367,1136159.5359999998
1,12,12,384,64,1,0,1,6799,731525.84
1,12,12,64,384,1,0,1,6824,1007454.4
3,12,12,384,384,1,1,384,7367,1136159.5359999998
1,12,12,384,64,1,0,1,6799,731525.84
1,12,12,64,384,1,0,1,6824,1007454.4
3,12,12,384,384,1,1,384,7367,1136159.5359999998
1,12,12,384,64,1,0,1,6799,731525.84
1,12,12,64,384,1,0,1,6824,1007454.4
3,12,12,384,384,1,1,384,7367,1136159.5359999998
1,12,12,384,64,1,0,1,6799,731525.84
1,12,12,64,384,1,0,1,6824,1007454.4
3,12,12,384,384,1,1,384,7367,1136159.5359999998
1,12,12,384,96,1,0,1,10738,1388691.68
1,12,12,96,576,1,0,1,12832,1953449.696
3,12,12,576,576,1,1,576,10760,1696686.3040000002
1,12,12,576,96,1,0,1,15627,2015501.8080000002
1,12,12,96,576,1,0,1,12832,1953449.696
3,12,12,576,576,1,1,576,10760,1696686.3040000002
1,12,12,576,96,1,0,1,15627,2015501.8080000002
1,12,12,96,576,1,0,1,12832,1953449.696
3,12,12,576,576,2,1,576,7540,828476.7679999999
1,6,6,576,128,1,0,1,11141,1006801.936
1,6,6,128,768,1,0,1,15067,1520991.1520000002
3,6,6,768,768,1,1,768,9871,1099895.024
1,6,6,768,128,1,0,1,14587,1318259.312
1,6,6,128,768,1,0,1,15067,1520991.1520000002
3,6,6,768,768,1,1,768,9871,1099895.024
1,6,6,768,128,1,0,1,14587,1318259.312
1,6,6,128,768,1,0,1,15067,1520991.1520000002
3,6,6,768,768,1,1,768,9871,1099895.024
1,6,6,768,160,1,0,1,20563,1943133.968
3,16,16,42,21,2,1,1,2716,246544.448
