kx,ifmx,ifmy,zin,zout,stridex,pad_x,group,latency,energy
3,320,240,32,32,1,1,4,178316,39515761.6
1,320,240,32,32,1,0,1,85398,25452693.6
3,320,240,32,32,1,1,4,178316,39515761.6
1,320,240,32,4,1,0,1,19668,5961259.2
3,320,240,4,4,1,1,1,44267,6371239.6000000015
3,320,240,4,4,1,1,1,44267,6371239.6000000015
3,320,240,4,4,1,1,1,44267,6371239.6000000015
3,320,240,32,32,2,1,4,48716,9996510.4
1,160,120,32,64,1,0,1,43152,13297708.8
1,160,120,64,4,1,0,1,10068,1913160.0
3,160,120,4,4,1,1,1,11687,1615812.4
3,160,120,4,4,1,1,1,11687,1615812.4
3,160,120,4,4,1,1,1,11687,1615812.4
3,160,120,64,64,2,1,8,27148,5386299.2
1,80,60,64,128,1,0,1,40028,9174520.0
1,80,60,128,256,1,0,1,156880,28463302.4
3,80,60,256,256,1,1,32,91125,21091054.8
1,80,60,256,128,1,0,1,156678,25507797.6
1,80,60,128,256,1,0,1,156880,28463302.4
3,80,60,256,256,1,1,32,91125,21091054.8
1,80,60,256,128,1,0,1,156678,25507797.6
1,80,60,128,4,1,0,1,5268,699333.6
3,80,60,4,4,1,1,1,3445,424433.6
3,80,60,4,4,1,1,1,3445,424433.6
3,80,60,128,128,2,1,16,14367,2730471.6
1,40,30,128,128,1,0,1,21322,3619128.8
1,40,30,128,256,1,0,1,41680,7213193.6000000015
3,40,30,256,256,1,1,32,25045,5365029.2
1,40,30,256,128,1,0,1,41478,6453674.4
1,40,30,128,256,1,0,1,41680,7213193.6000000015
3,40,30,256,256,1,1,32,25045,5365029.2
1,40,30,256,128,1,0,1,41478,6453674.4
1,40,30,128,4,1,0,1,1623,189017.4
3,40,30,4,4,1,1,1,1485,134630.16
3,40,30,4,4,1,1,1,1485,134630.16
3,40,30,128,128,2,1,16,4627,842878.4
1,20,15,128,128,1,0,1,6562,1160865.2
1,20,15,128,256,1,0,1,12160,2296666.4
3,20,15,256,256,1,1,32,7649,1644026.8
1,20,15,256,128,1,0,1,12318,2095503.6
1,20,15,128,256,1,0,1,12160,2296666.4
3,20,15,256,256,1,1,32,7649,1644026.8
1,20,15,256,128,1,0,1,12318,2095503.6
1,20,15,128,256,1,0,1,12160,2296666.4
3,20,15,256,256,1,1,32,7649,1644026.8
1,20,15,256,128,1,0,1,12318,2095503.6
1,20,15,128,256,1,0,1,12160,2296666.4
3,20,15,256,256,1,1,32,7649,1644026.8
1,20,15,256,128,1,0,1,12318,2095503.6
1,20,15,128,256,1,0,1,12160,2296666.4
3,20,15,256,256,1,1,32,7649,1644026.8
1,20,15,256,128,1,0,1,12318,2095503.6
1,20,15,128,256,1,0,1,12160,2296666.4
3,20,15,256,256,1,1,32,7649,1644026.8
1,20,15,256,128,1,0,1,12318,2095503.6
1,20,15,128,256,1,0,1,12160,2296666.4
3,20,15,256,256,1,1,32,7649,1644026.8
1,20,15,256,128,1,0,1,12318,2095503.6
3,20,15,128,128,2,1,16,2387,289769.00800000003
1,40,30,128,128,1,0,1,21322,3619128.8
3,40,30,128,128,1,1,16,13087,2697191.6
1,40,30,128,128,1,0,1,21322,3619128.8
3,40,30,128,128,2,1,16,4627,842878.4
1,80,60,128,64,1,0,1,39943,7134623.6000000015
3,80,60,64,64,1,1,8,24588,5319739.2
1,80,60,64,64,1,0,1,20249,4593370.0
3,80,60,64,64,2,1,8,8388,1396552.8
1,160,120,64,64,1,0,1,77849,18258250.0
3,160,120,64,64,1,1,8,91948,21079044.8
1,160,120,64,64,1,0,1,77849,18258250.0
3,160,120,64,64,2,1,8,27148,5386299.2
1,320,240,64,32,1,0,1,154290,34258260.0
3,320,240,32,32,1,1,4,178316,39515761.6
1,320,240,32,32,1,0,1,85398,25452693.6
3,320,240,32,16,1,1,1,350996,65802702.40000001
3,320,240,16,1,1,1,1,89160,12887136.0
